tm,DVm,PVm
3.170000000000000000e+02,1.000000000000000000e+00,5.147999999999995913e-01
3.180000000000000000e+02,1.000000000000000000e+00,5.147999999999995913e-01
3.190000000000000000e+02,1.000000000000000000e+00,5.147999999999995913e-01
3.200000000000000000e+02,1.000000000000000000e+00,5.147999999999995913e-01
3.210000000000000000e+02,1.000000000000000000e+00,5.147999999999995913e-01
3.220000000000000000e+02,1.000000000000000000e+00,5.164249999999995788e-01
3.230000000000000000e+02,1.000000000000000000e+00,5.196500000000000563e-01
3.240000000000000000e+02,1.000000000000000000e+00,5.220500000000001251e-01
3.250000000000000000e+02,1.000000000000000000e+00,5.228750000000002007e-01
3.260000000000000000e+02,1.000000000000000000e+00,5.228750000000002007e-01
3.270000000000000000e+02,1.000000000000000000e+00,5.228750000000002007e-01
3.280000000000000000e+02,1.000000000000000000e+00,5.228750000000002007e-01
3.290000000000000000e+02,1.000000000000000000e+00,5.228750000000002007e-01
3.300000000000000000e+02,1.000000000000000000e+00,5.228750000000002007e-01
3.310000000000000000e+02,1.000000000000000000e+00,5.228750000000002007e-01
3.320000000000000000e+02,1.000000000000000000e+00,5.228750000000002007e-01
3.330000000000000000e+02,1.000000000000000000e+00,5.228750000000002007e-01
3.340000000000000000e+02,1.000000000000000000e+00,5.228750000000002007e-01
3.350000000000000000e+02,1.000000000000000000e+00,5.228750000000002007e-01
3.360000000000000000e+02,1.000000000000000000e+00,5.228750000000002007e-01
3.370000000000000000e+02,1.000000000000000000e+00,5.228750000000002007e-01
3.380000000000000000e+02,1.000000000000000000e+00,5.228750000000002007e-01
3.390000000000000000e+02,1.000000000000000000e+00,5.228750000000002007e-01
3.400000000000000000e+02,1.000000000000000000e+00,5.236750000000001126e-01
3.410000000000000000e+02,1.000000000000000000e+00,5.284999999999999698e-01
3.420000000000000000e+02,1.000000000000000000e+00,5.309250000000002023e-01
3.430000000000000000e+02,1.000000000000000000e+00,5.309250000000002023e-01
3.440000000000000000e+02,1.000000000000000000e+00,5.309250000000002023e-01
3.450000000000000000e+02,1.000000000000000000e+00,5.309250000000002023e-01
3.460000000000000000e+02,1.000000000000000000e+00,5.309250000000002023e-01
3.470000000000000000e+02,1.000000000000000000e+00,5.309250000000002023e-01
3.480000000000000000e+02,1.000000000000000000e+00,5.317250000000001142e-01
3.490000000000000000e+02,1.000000000000000000e+00,5.365500000000000824e-01
3.500000000000000000e+02,1.000000000000000000e+00,5.365500000000000824e-01
3.510000000000000000e+02,1.000000000000000000e+00,5.373750000000001581e-01
3.520000000000000000e+02,1.000000000000000000e+00,5.381750000000000700e-01
3.530000000000000000e+02,1.000000000000000000e+00,5.389749999999995378e-01
3.540000000000000000e+02,1.000000000000000000e+00,5.389749999999995378e-01
3.550000000000000000e+02,1.000000000000000000e+00,5.389749999999995378e-01
3.560000000000000000e+02,1.000000000000000000e+00,5.389749999999995378e-01
3.570000000000000000e+02,1.000000000000000000e+00,5.389749999999995378e-01
3.580000000000000000e+02,1.000000000000000000e+00,5.389749999999995378e-01
3.590000000000000000e+02,1.000000000000000000e+00,5.389749999999995378e-01
3.600000000000000000e+02,1.000000000000000000e+00,5.389749999999995378e-01
3.610000000000000000e+02,1.000000000000000000e+00,5.389749999999995378e-01
3.620000000000000000e+02,1.000000000000000000e+00,5.389749999999995378e-01
3.630000000000000000e+02,1.000000000000000000e+00,5.389749999999995378e-01
3.640000000000000000e+02,1.000000000000000000e+00,5.389749999999995378e-01
3.650000000000000000e+02,1.000000000000000000e+00,5.389749999999995378e-01
3.660000000000000000e+02,1.000000000000000000e+00,5.389749999999995378e-01
3.670000000000000000e+02,1.000000000000000000e+00,5.397750000000002268e-01
3.680000000000000000e+02,1.000000000000000000e+00,5.397750000000002268e-01
3.690000000000000000e+02,1.000000000000000000e+00,5.389749999999995378e-01
3.700000000000000000e+02,1.000000000000000000e+00,5.406000000000001915e-01
3.710000000000000000e+02,1.000000000000000000e+00,5.414000000000001034e-01
3.720000000000000000e+02,1.000000000000000000e+00,5.429999999999995941e-01
3.730000000000000000e+02,1.000000000000000000e+00,5.454250000000001597e-01
